Metric,Graph_RAG_Avg,Vector_RAG_Avg,Winner
Precision@K,0.35,0.425,Vector RAG
Recall@K,0.5,0.625,Vector RAG
F1@K,0.4097,0.5035,Vector RAG
MRR,1.0,1.0,Tie
MAP,0.4993,0.5583,Vector RAG
nDCG@K,0.6068,0.6892,Vector RAG
HitRate@K,1.0,1.0,Tie
ContextRelevance,0.5731,0.6044,Vector RAG
AnswerFaithfulness,0.7937,0.8148,Vector RAG
Latency(s),1.0843,0.5264,Vector RAG
